CUSTOMER_ID,SEGMENT,INDUSTRY,COUNTRY,PLAN,MRR,SUBSCRIPTION_DURATION,CUSTOMER_STATUS,CHURN_LABEL,AVG_MONTHLY_LOGINS,AVG_TICKETS_RAISED,AVG_FEATURE_USAGE
1,SMB,Financial Services/Fintech,France,Growth,210,436,Active,0,207.071429,101.357143,51.026857087563777857
2,SMB,Professional Services,Japan,Growth,615,1078,Active,0,201.235294,98.176471,56.522940869645448088
3,SMB,Education,Singapore,Pro,6468,281,Churned,1,656.333333,309.777778,59.158445138751143000
4,SMB,Financial Services/Fintech,Canada,Growth,780,661,Active,0,157,75,53.387786096767350000
5,SMB,Healthcare,Australia,Growth,900,845,Active,0,184,107.142857,57.406707494442817143
6,SMB,Media,USA,Growth,915,920,Active,0,202.625,91.75,49.010451359313667500
7,Enterprise,Media,UK,Pro,3038,981,Active,0,506,254.555556,48.295130490034059556
8,SMB,Technology,Singapore,Growth,525,699,Active,0,202,90,31.137660011634427000
9,SMB,Logistics,USA,Growth,780,416,Active,0,211,101,59.591325591856005000
10,SMB,Retail,Canada,Pro,5292,304,Churned,1,506.1,250.5,49.187090043025765470
11,SMB,Manufacturing,Singapore,Pro,4459,999,Active,0,490.521739,251.608696,50.901791839573571722
12,SMB,Technology,USA,Pro,4851,179,Churned,1,488.333333,237.5,41.712556016241041833
13,SMB,Manufacturing,Brazil,Growth,135,1089,Active,0,200.190476,98.904762,57.293248512025319648
14,Enterprise,Logistics,USA,Growth,765,542,Active,0,246.5,138,10.737958264943531500
15,Mid-Market,Media,Singapore,Enterprise,4653,954,Active,0,1170.571429,637.428571,54.365019630535433736
16,Mid-Market,Healthcare,UK,Enterprise,8019,172,Churned,1,1052.666667,504.5,55.519016576469182333
17,Enterprise,Professional Services,USA,Pro,3381,237,Churned,1,511,233.75,54.720320961114525625
18,Enterprise,Professional Services,USA,Growth,435,548,Active,0,173,100,61.931531701088120000
19,Mid-Market,Financial Services/Fintech,Germany,Pro,4116,756,Active,0,488.285714,248.571429,49.674189848728849429
20,Mid-Market,Technology,Singapore,Enterprise,2772,118,Churned,1,958.25,500.5,44.106538454984628750
21,SMB,Logistics,Australia,Pro,2058,400,Active,0,519,205,94.383846823734150000
22,SMB,Healthcare,Japan,Enterprise,4554,414,Active,0,954,505,15.421898065741901000
23,SMB,Professional Services,India,Growth,720,924,Active,0,146.0625,72.4375,51.163213106436197063
24,SMB,Financial Services/Fintech,USA,Pro,1666,446,Active,0,531,252,47.384906229910825000
25,Enterprise,Retail,Germany,Pro,5096,439,Active,0,534,277,86.184972677605710000
26,SMB,Media,UK,Pro,5537,924,Active,0,526.125,248.625,36.812504027747970888
27,Mid-Market,Retail,Canada,Pro,6272,637,Active,0,570.4,262.6,48.340542228386506600
28,SMB,Media,USA,Pro,3577,852,Active,0,637.272727,320.454545,43.639193138426406818
29,SMB,Retail,USA,Enterprise,7227,942,Active,0,983.538462,512.769231,57.306400764041768562
30,SMB,Financial Services/Fintech,Australia,Enterprise,3861,725,Active,0,934.6,507.4,70.109798844552069200
31,SMB,Healthcare,USA,Growth,570,960,Active,0,213.583333,100.25,53.141107141880847083
32,SMB,Technology,Australia,Pro,6370,841,Active,0,370,178.428571,44.068385121940023000
33,SMB,Media,Japan,Enterprise,9801,935,Active,0,779.555556,382.222222,66.060094581283483889
34,SMB,Logistics,USA,Growth,135,1002,Active,0,150.7,74,55.338987577476935800
35,SMB,Manufacturing,France,Growth,375,63,Churned,1,204,90.5,34.616849133990396500
36,SMB,Healthcare,Australia,Growth,660,720,Active,0,194,115,19.138465442740316000
37,SMB,Healthcare,USA,Growth,945,580,Active,0,196,107,33.255198467587750000
38,SMB,Financial Services/Fintech,France,Enterprise,6435,699,Active,0,1038,466.5,46.648539272572159250
39,SMB,Manufacturing,USA,Growth,990,568,Active,0,234,110,66.221736107294900000
40,SMB,Real Estate,USA,Pro,7203,851,Active,0,506.888889,246.555556,34.952710885486834444
41,SMB,Healthcare,USA,Growth,615,162,Churned,1,259,132,40.774696181350325400
42,SMB,Logistics,Canada,Growth,975,876,Active,0,218,109,3.408210237734443600
43,SMB,Healthcare,Canada,Enterprise,8514,647,Active,0,1116,438,5.800964020965682000
44,Enterprise,Education,UK,Pro,2793,341,Churned,1,495.727273,245.090909,23.496841787880315891
45,SMB,Media,USA,Growth,180,882,Active,0,198.96,97.68,57.240537336477979320
46,SMB,Professional Services,India,Enterprise,3366,412,Active,0,732.888889,388,47.952309938541889156
47,SMB,Healthcare,Singapore,Growth,495,1048,Active,0,205.035714,98.428571,50.382245177169547325
48,SMB,Healthcare,Canada,Growth,360,861,Active,0,147.5,72.65,59.144721594191761140
49,SMB,Financial Services/Fintech,USA,Pro,4851,710,Active,0,502.846154,240.923077,48.434921363992013923
50,Mid-Market,Logistics,USA,Growth,975,1032,Active,0,201.045455,98,46.231251802476334864
51,Mid-Market,Financial Services/Fintech,India,Pro,7007,251,Churned,1,369.625,192.125,33.794392534268183250
52,SMB,Technology,USA,Pro,2205,477,Active,0,650.6,318.2,44.353738534565166200
53,Enterprise,Media,USA,Growth,690,747,Active,0,194.923077,100.153846,59.033969073253123462
54,SMB,Logistics,Canada,Pro,882,1098,Active,0,504.652174,252.086957,46.118964182658092696
55,SMB,Financial Services/Fintech,France,Growth,405,565,Active,0,216,98.4,40.005660435851006400
56,Mid-Market,Manufacturing,Canada,Pro,980,1041,Active,0,613.105263,312,54.387200726149580937
57,Mid-Market,Manufacturing,USA,Growth,870,726,Active,0,256.714286,129.714286,40.609555012494464286
58,SMB,Healthcare,Germany,Enterprise,8316,797,Active,0,729,361.625,47.165364926562211750
59,SMB,Professional Services,Australia,Enterprise,8118,438,Active,0,1017,649,71.312050341022830000
60,SMB,Financial Services/Fintech,Germany,Growth,480,1043,Active,0,198.25,100.15,58.410148180848524050
61,SMB,Technology,USA,Enterprise,8712,118,Churned,1,716.25,355.75,34.600029722510872250
62,SMB,Financial Services/Fintech,France,Pro,637,1075,Active,0,517,253.833333,52.986593608810272333
63,SMB,Financial Services/Fintech,Canada,Pro,1715,729,Active,0,478.090909,242.818182,50.886389415658641364
64,SMB,Education,Canada,Enterprise,2673,472,Active,0,1102.5,512,40.010522297405346500
65,Mid-Market,Professional Services,Canada,Growth,180,495,Active,0,216,107,49.503922894666450000
66,SMB,Financial Services/Fintech,USA,Growth,810,434,Active,0,197,106,21.189657970887710000
67,Mid-Market,Retail,USA,Growth,795,428,Active,0,226,104,71.428969305276700000
68,SMB,Retail,USA,Growth,960,425,Active,0,222,104,18.034911170305946000
69,Enterprise,Healthcare,UK,Growth,630,486,Active,0,209.5,87.5,56.420590112014758500
70,SMB,Technology,Canada,Pro,2940,829,Active,0,624.583333,306.5,41.877644692292806550
71,SMB,Professional Services,France,Growth,420,792,Active,0,200.9,92.9,33.228634869774112200
72,Enterprise,Technology,USA,Pro,5292,1021,Active,0,615.823529,306.764706,47.702724721728780647
73,SMB,Manufacturing,Japan,Growth,600,928,Active,0,206,107.307692,52.891353185031091538
74,SMB,Logistics,USA,Growth,255,1074,Active,0,151.1875,74.375,50.739084462795743375
75,SMB,Professional Services,UK,Growth,1035,672,Active,0,212,113,60.620025724978390000
76,SMB,Education,USA,Pro,4459,830,Active,0,504.4,263,36.023144123731422200
77,SMB,Professional Services,Germany,Enterprise,7425,1105,Active,0,707.230769,377.615385,46.938158285228915685
78,SMB,Financial Services/Fintech,Germany,Growth,375,167,Churned,1,248.8,119,63.804607858045090000
79,Enterprise,Media,Japan,Pro,1421,955,Active,0,462,239,88.865351558638470000
80,SMB,Education,UK,Enterprise,1188,497,Active,0,992,536,37.467451717173540000
81,SMB,Healthcare,USA,Enterprise,6237,746,Active,0,1008.888889,497.666667,35.182599777840257509
82,Mid-Market,Technology,Germany,Pro,637,251,Churned,1,519.25,251.25,46.846992166079639000
83,SMB,Retail,Germany,Growth,750,787,Active,0,209.2,91.6,52.275162997764324600
84,SMB,Education,Japan,Growth,75,247,Churned,1,235.75,129.125,47.004435524569817000
85,SMB,Healthcare,USA,Growth,960,714,Active,0,212.4,96.6,50.190152148890138200
86,SMB,Manufacturing,Germany,Pro,4312,344,Churned,1,498,243.75,41.107903589477469767
87,SMB,Professional Services,USA,Growth,870,534,Active,0,197.666667,90.666667,64.685632917595426667
88,SMB,Professional Services,Canada,Pro,1617,936,Active,0,494,254.8,44.941672559583933667
89,SMB,Retail,USA,Growth,420,951,Active,0,207.071429,96.785714,47.953747866274499971
90,Enterprise,Media,Germany,Growth,210,576,Active,0,213,114,94.274798438178400000
91,Mid-Market,Technology,Australia,Enterprise,1782,1076,Active,0,701.75,389.4375,52.216180521596019000
92,SMB,Logistics,USA,Enterprise,1683,948,Active,0,995.1,497.6,31.403180339539951700
93,Mid-Market,Professional Services,UK,Pro,5684,945,Active,0,500.777778,252.111111,50.172542232127580667
94,SMB,Logistics,UK,Growth,1020,216,Churned,1,203.285714,88.142857,57.976669646485128571
95,SMB,Technology,USA,Enterprise,8712,714,Active,0,1089,426,79.572872171113500000
96,SMB,Manufacturing,USA,Growth,735,743,Active,0,220,78,40.273221846823110000
97,SMB,Manufacturing,UK,Pro,3479,752,Active,0,535,266,96.609803169956590000
98,Mid-Market,Logistics,France,Growth,975,255,Churned,1,194.111111,103.222222,60.178515922659515000
99,SMB,Retail,UK,Pro,2254,841,Active,0,379.866667,188.466667,56.727329217578587300
100,SMB,Logistics,UK,Pro,3822,777,Active,0,504.583333,258.583333,30.951623507862097833
101,SMB,Financial Services/Fintech,Japan,Enterprise,4158,907,Active,0,1051.866667,512.533333,43.137286383935404163
102,SMB,Healthcare,USA,Pro,2107,873,Active,0,499.769231,264.461538,63.360356957120535000
103,SMB,Education,France,Enterprise,5742,916,Active,0,742.461538,377.153846,51.331109463602098900
104,Mid-Market,Retail,Canada,Pro,2744,280,Churned,1,621.666667,311.555556,45.742103192829157411
105,Enterprise,Healthcare,Japan,Pro,245,837,Active,0,501.045455,247.772727,49.464059890847109450
106,SMB,Professional Services,UK,Growth,990,767,Active,0,146.277778,71.222222,54.390303279838702944
107,SMB,Technology,Germany,Growth,1020,196,Churned,1,149.166667,72.833333,54.143666889142092667
108,SMB,Manufacturing,USA,Pro,1911,866,Active,0,493.25,244.625,47.093272852042682275
109,Mid-Market,Technology,Japan,Enterprise,7326,503,Active,0,1001,527,37.910254922622770000
110,SMB,Retail,UK,Growth,195,983,Active,0,200.133333,100,57.246246030272768367
111,SMB,Real Estate,Canada,Growth,330,419,Active,0,195,97,42.474564563179700000
112,Mid-Market,Logistics,USA,Growth,75,499,Active,0,212,104,39.445774482336105000
113,SMB,Financial Services/Fintech,Japan,Enterprise,5742,139,Churned,1,1240.75,623.5,59.824728523376184000
114,SMB,Healthcare,Germany,Growth,855,308,Churned,1,202.1,98.3,55.085092322439853100
115,SMB,Healthcare,USA,Growth,990,743,Active,0,144.933333,73.4,57.133378339810047687
116,SMB,Media,USA,Growth,765,532,Active,0,201.571429,105.285714,37.062157652428233857
117,SMB,Manufacturing,UK,Growth,645,544,Active,0,204.166667,104.666667,42.398395425592515717
118,SMB,Healthcare,USA,Pro,3087,430,Active,0,493,259,50.985716416544480000
119,SMB,Retail,UK,Enterprise,1386,888,Active,0,1212.6,594.866667,52.497588340845810467
120,SMB,Education,Brazil,Growth,825,184,Churned,1,213.166667,98.833333,64.056745041978478833
121,Enterprise,Real Estate,Germany,Growth,300,271,Churned,1,194.888889,92.444444,40.850846087970092556
122,SMB,Healthcare,Japan,Enterprise,9009,783,Active,0,1021.777778,495.888889,54.972693096976429222
123,Mid-Market,Education,UK,Enterprise,2871,958,Active,0,1010.428571,523.785714,50.309819850557217121
124,SMB,Healthcare,Germany,Growth,840,625,Active,0,194,111.5,40.662066070199577000
125,SMB,Retail,Canada,Growth,375,1088,Active,0,196.375,100.125,58.442909330200093563
126,SMB,Education,UK,Enterprise,5049,660,Active,0,888,437,5.791956145244503000
127,SMB,Professional Services,Canada,Pro,5880,559,Active,0,512,222,26.022808768364104000
128,SMB,Healthcare,UK,Enterprise,7821,970,Active,0,1310.714286,617.214286,57.037620575163711357
