"CUSTOMER_ID","SEGMENT","INDUSTRY","COUNTRY","PLAN","MRR","SUBSCRIPTION_DURATION","CUSTOMER_STATUS","CHURN_LABEL","AVG_MONTHLY_LOGINS","AVG_TICKETS_RAISED","AVG_FEATURE_USAGE","PREDICTED_CHURN","CHURN_PROBABILITY"
1,"SMB","Financial Services/Fintech","France","Growth",210,436,"Active","0",207.071429,101.357143,51.0268570875638,0,0
2,"SMB","Professional Services","Japan","Growth",615,1078,"Active","0",201.235294,98.176471,56.5229408696454,1,0.55
3,"SMB","Education","Singapore","Pro",6468,281,"Churned","1",656.333333,309.777778,59.1584451387511,0,0.44
4,"SMB","Financial Services/Fintech","Canada","Growth",780,661,"Active","0",157,75,53.3877860967673,0,0
5,"SMB","Healthcare","Australia","Growth",900,845,"Active","0",184,107.142857,57.4067074944428,0,0
6,"SMB","Media","USA","Growth",915,920,"Active","0",202.625,91.75,49.0104513593137,0,0.18
7,"Enterprise","Media","UK","Pro",3038,981,"Active","0",506,254.555556,48.2951304900341,0,0
8,"SMB","Technology","Singapore","Growth",525,699,"Active","0",202,90,31.1376600116344,0,0
9,"SMB","Logistics","USA","Growth",780,416,"Active","0",211,101,59.591325591856,0,0
10,"SMB","Retail","Canada","Pro",5292,304,"Churned","1",506.1,250.5,49.1870900430258,0,0
11,"SMB","Manufacturing","Singapore","Pro",4459,999,"Active","0",490.521739,251.608696,50.9017918395736,0,0
12,"SMB","Technology","USA","Pro",4851,179,"Churned","1",488.333333,237.5,41.712556016241,0,0
13,"SMB","Manufacturing","Brazil","Growth",135,1089,"Active","0",200.190476,98.904762,57.2932485120253,0,0.32
14,"Enterprise","Logistics","USA","Growth",765,542,"Active","0",246.5,138,10.7379582649435,0,0
15,"Mid-Market","Media","Singapore","Enterprise",4653,954,"Active","0",1170.571429,637.428571,54.3650196305354,0,0.14
16,"Mid-Market","Healthcare","UK","Enterprise",8019,172,"Churned","1",1052.666667,504.5,55.5190165764692,0,0
17,"Enterprise","Professional Services","USA","Pro",3381,237,"Churned","1",511,233.75,54.7203209611145,0,0
18,"Enterprise","Professional Services","USA","Growth",435,548,"Active","0",173,100,61.9315317010881,0,0
19,"Mid-Market","Financial Services/Fintech","Germany","Pro",4116,756,"Active","0",488.285714,248.571429,49.6741898487289,0,0
20,"Mid-Market","Technology","Singapore","Enterprise",2772,118,"Churned","1",958.25,500.5,44.1065384549846,0,0
21,"SMB","Logistics","Australia","Pro",2058,400,"Active","0",519,205,94.3838468237342,0,0
22,"SMB","Healthcare","Japan","Enterprise",4554,414,"Active","0",954,505,15.4218980657419,0,0
23,"SMB","Professional Services","India","Growth",720,924,"Active","0",146.0625,72.4375,51.1632131064362,0,0.23
24,"SMB","Financial Services/Fintech","USA","Pro",1666,446,"Active","0",531,252,47.3849062299108,0,0
25,"Enterprise","Retail","Germany","Pro",5096,439,"Active","0",534,277,86.1849726776057,0,0
26,"SMB","Media","UK","Pro",5537,924,"Active","0",526.125,248.625,36.812504027748,0,0.16
27,"Mid-Market","Retail","Canada","Pro",6272,637,"Active","0",570.4,262.6,48.3405422283865,0,0
28,"SMB","Media","USA","Pro",3577,852,"Active","0",637.272727,320.454545,43.6391931384264,0,0
29,"SMB","Retail","USA","Enterprise",7227,942,"Active","0",983.538462,512.769231,57.3064007640418,0,0
30,"SMB","Financial Services/Fintech","Australia","Enterprise",3861,725,"Active","0",934.6,507.4,70.1097988445521,0,0
31,"SMB","Healthcare","USA","Growth",570,960,"Active","0",213.583333,100.25,53.1411071418808,0,0
32,"SMB","Technology","Australia","Pro",6370,841,"Active","0",370,178.428571,44.06838512194,0,0
33,"SMB","Media","Japan","Enterprise",9801,935,"Active","0",779.555556,382.222222,66.0600945812835,0,0
34,"SMB","Logistics","USA","Growth",135,1002,"Active","0",150.7,74,55.3389875774769,0,0
35,"SMB","Manufacturing","France","Growth",375,63,"Churned","1",204,90.5,34.6168491339904,0,0
36,"SMB","Healthcare","Australia","Growth",660,720,"Active","0",194,115,19.1384654427403,0,0
37,"SMB","Healthcare","USA","Growth",945,580,"Active","0",196,107,33.2551984675878,0,0
38,"SMB","Financial Services/Fintech","France","Enterprise",6435,699,"Active","0",1038,466.5,46.6485392725722,0,0
39,"SMB","Manufacturing","USA","Growth",990,568,"Active","0",234,110,66.2217361072949,0,0
40,"SMB","Real Estate","USA","Pro",7203,851,"Active","0",506.888889,246.555556,34.9527108854868,0,0
41,"SMB","Healthcare","USA","Growth",615,162,"Churned","1",259,132,40.7746961813503,0,0
42,"SMB","Logistics","Canada","Growth",975,876,"Active","0",218,109,3.40821023773444,0,0
43,"SMB","Healthcare","Canada","Enterprise",8514,647,"Active","0",1116,438,5.80096402096568,0,0.02
44,"Enterprise","Education","UK","Pro",2793,341,"Churned","1",495.727273,245.090909,23.4968417878803,0,0
45,"SMB","Media","USA","Growth",180,882,"Active","0",198.96,97.68,57.240537336478,1,0.51
46,"SMB","Professional Services","India","Enterprise",3366,412,"Active","0",732.888889,388,47.9523099385419,0,0.14
47,"SMB","Healthcare","Singapore","Growth",495,1048,"Active","0",205.035714,98.428571,50.3822451771695,0,0
48,"SMB","Healthcare","Canada","Growth",360,861,"Active","0",147.5,72.65,59.1447215941918,0,0.03
49,"SMB","Financial Services/Fintech","USA","Pro",4851,710,"Active","0",502.846154,240.923077,48.434921363992,0,0
50,"Mid-Market","Logistics","USA","Growth",975,1032,"Active","0",201.045455,98,46.2312518024763,0,0.38
51,"Mid-Market","Financial Services/Fintech","India","Pro",7007,251,"Churned","1",369.625,192.125,33.7943925342682,0,0
52,"SMB","Technology","USA","Pro",2205,477,"Active","0",650.6,318.2,44.3537385345652,0,0
53,"Enterprise","Media","USA","Growth",690,747,"Active","0",194.923077,100.153846,59.0339690732531,0,0
54,"SMB","Logistics","Canada","Pro",882,1098,"Active","0",504.652174,252.086957,46.1189641826581,0,0
55,"SMB","Financial Services/Fintech","France","Growth",405,565,"Active","0",216,98.4,40.005660435851,0,0
56,"Mid-Market","Manufacturing","Canada","Pro",980,1041,"Active","0",613.105263,312,54.3872007261496,0,0
57,"Mid-Market","Manufacturing","USA","Growth",870,726,"Active","0",256.714286,129.714286,40.6095550124945,1,0.58
58,"SMB","Healthcare","Germany","Enterprise",8316,797,"Active","0",729,361.625,47.1653649265622,0,0
59,"SMB","Professional Services","Australia","Enterprise",8118,438,"Active","0",1017,649,71.3120503410228,0,0
60,"SMB","Financial Services/Fintech","Germany","Growth",480,1043,"Active","0",198.25,100.15,58.4101481808485,0,0
61,"SMB","Technology","USA","Enterprise",8712,118,"Churned","1",716.25,355.75,34.6000297225109,0,0
62,"SMB","Financial Services/Fintech","France","Pro",637,1075,"Active","0",517,253.833333,52.9865936088103,0,0.5
63,"SMB","Financial Services/Fintech","Canada","Pro",1715,729,"Active","0",478.090909,242.818182,50.8863894156586,0,0
64,"SMB","Education","Canada","Enterprise",2673,472,"Active","0",1102.5,512,40.0105222974054,0,0
65,"Mid-Market","Professional Services","Canada","Growth",180,495,"Active","0",216,107,49.5039228946664,0,0
66,"SMB","Financial Services/Fintech","USA","Growth",810,434,"Active","0",197,106,21.1896579708877,0,0
67,"Mid-Market","Retail","USA","Growth",795,428,"Active","0",226,104,71.4289693052767,0,0
68,"SMB","Retail","USA","Growth",960,425,"Active","0",222,104,18.0349111703059,0,0
69,"Enterprise","Healthcare","UK","Growth",630,486,"Active","0",209.5,87.5,56.4205901120148,0,0
70,"SMB","Technology","Canada","Pro",2940,829,"Active","0",624.583333,306.5,41.8776446922928,0,0
71,"SMB","Professional Services","France","Growth",420,792,"Active","0",200.9,92.9,33.2286348697741,0,0
72,"Enterprise","Technology","USA","Pro",5292,1021,"Active","0",615.823529,306.764706,47.7027247217288,0,0
73,"SMB","Manufacturing","Japan","Growth",600,928,"Active","0",206,107.307692,52.8913531850311,0,0
74,"SMB","Logistics","USA","Growth",255,1074,"Active","0",151.1875,74.375,50.7390844627957,1,0.6
75,"SMB","Professional Services","UK","Growth",1035,672,"Active","0",212,113,60.6200257249784,0,0
76,"SMB","Education","USA","Pro",4459,830,"Active","0",504.4,263,36.0231441237314,1,0.68
77,"SMB","Professional Services","Germany","Enterprise",7425,1105,"Active","0",707.230769,377.615385,46.9381582852289,0,0
78,"SMB","Financial Services/Fintech","Germany","Growth",375,167,"Churned","1",248.8,119,63.8046078580451,0,0.43
79,"Enterprise","Media","Japan","Pro",1421,955,"Active","0",462,239,88.8653515586385,0,0
80,"SMB","Education","UK","Enterprise",1188,497,"Active","0",992,536,37.4674517171735,0,0
81,"SMB","Healthcare","USA","Enterprise",6237,746,"Active","0",1008.888889,497.666667,35.1825997778403,0,0
82,"Mid-Market","Technology","Germany","Pro",637,251,"Churned","1",519.25,251.25,46.8469921660796,0,0
83,"SMB","Retail","Germany","Growth",750,787,"Active","0",209.2,91.6,52.2751629977643,0,0
84,"SMB","Education","Japan","Growth",75,247,"Churned","1",235.75,129.125,47.0044355245698,0,0
85,"SMB","Healthcare","USA","Growth",960,714,"Active","0",212.4,96.6,50.1901521488901,0,0
86,"SMB","Manufacturing","Germany","Pro",4312,344,"Churned","1",498,243.75,41.1079035894775,0,0
87,"SMB","Professional Services","USA","Growth",870,534,"Active","0",197.666667,90.666667,64.6856329175954,0,0
88,"SMB","Professional Services","Canada","Pro",1617,936,"Active","0",494,254.8,44.9416725595839,0,0
89,"SMB","Retail","USA","Growth",420,951,"Active","0",207.071429,96.785714,47.9537478662745,0,0
90,"Enterprise","Media","Germany","Growth",210,576,"Active","0",213,114,94.2747984381784,0,0
91,"Mid-Market","Technology","Australia","Enterprise",1782,1076,"Active","0",701.75,389.4375,52.216180521596,0,0.39
92,"SMB","Logistics","USA","Enterprise",1683,948,"Active","0",995.1,497.6,31.40318033954,0,0
