customer_id,company_name,segment,industry,country,company_size
1,CeltixInc,SMB,Financial Services/Fintech,France,81
2,ProDynamics,SMB,Professional Services,Japan,80
3,DatadexServices,SMB,Education,Singapore,28
4,NextSolutions,SMB,Financial Services/Fintech,Canada,48
5,DigitalInnovations,SMB,Healthcare,Australia,11
6,CeltixDynamics,SMB,Media,USA,87
7,LogixCorp,Enterprise,Media,UK,2006
8,IannisInnovations,SMB,Technology,Singapore,60
9,OnyxDynamics,SMB,Logistics,USA,98
10,CeltixTechnologies,SMB,Retail,Canada,16
11,EliteTechnologies,SMB,Manufacturing,Singapore,28
12,HelixInc,SMB,Technology,USA,55
13,FraxLabs,SMB,Manufacturing,Brazil,20
14,CeltixServices,Enterprise,Logistics,USA,979
15,QestarDynamics,Mid-Market,Media,Singapore,253
16,RevoxGroup,Mid-Market,Healthcare,UK,168
17,EulogCorp,Enterprise,Professional Services,USA,2324
18,PractoSystems,Enterprise,Professional Services,USA,2955
19,OnyxCorp,Mid-Market,Financial Services/Fintech,Germany,345
20,GlobalInnovations,Mid-Market,Technology,Singapore,131
21,TigerInnovations,SMB,Logistics,Australia,83
22,CeltixGroup,SMB,Healthcare,Japan,75
23,OnyxInc,SMB,Professional Services,India,34
24,DatadexCorp,SMB,Financial Services/Fintech,USA,72
25,RevoxSolutions,Enterprise,Retail,Germany,2718
26,EulogInc,SMB,Media,UK,67
27,LogixSystems,Mid-Market,Retail,Canada,261
28,TexGroup,SMB,Media,USA,69
29,CoinbaseInc,SMB,Retail,USA,99
30,LogixDynamics,SMB,Financial Services/Fintech,Australia,29
31,EulogLabs,SMB,Healthcare,USA,78
32,HelixLabs,SMB,Technology,Australia,41
33,GenpaxTechnologies,SMB,Media,Japan,47
34,CloudServices,SMB,Logistics,USA,73
35,QestarDynamics,SMB,Manufacturing,France,27
36,EliteTechnologies,SMB,Healthcare,Australia,38
37,QestarGroup,SMB,Healthcare,USA,60
38,EliteGroup,SMB,Financial Services/Fintech,France,69
39,SmartServices,SMB,Manufacturing,USA,36
40,CeltixInnovations,SMB,Real Estate,USA,60
41,PrimeServices,SMB,Healthcare,USA,43
42,CoinbaseSystems,SMB,Logistics,Canada,66
43,SwellerGroup,SMB,Healthcare,Canada,19
44,DigitalInnovations,Enterprise,Education,UK,3293
45,UpstoxCorp,SMB,Media,USA,21
46,GintarServices,SMB,Professional Services,India,63
47,BartGroup,SMB,Healthcare,Singapore,32
48,FraxSystems,SMB,Healthcare,Canada,53
49,CeltixCorp,SMB,Financial Services/Fintech,USA,99
50,SwellerLabs,Mid-Market,Logistics,USA,372
51,UpstoxInnovations,Mid-Market,Financial Services/Fintech,India,194
52,EliteLabs,SMB,Technology,USA,44
53,SmartDynamics,Enterprise,Media,USA,3044
54,CloudInc,SMB,Logistics,Canada,85
55,CoinbaseSolutions,SMB,Financial Services/Fintech,France,81
56,PrimeCorp,Mid-Market,Manufacturing,Canada,297
57,ProCorp,Mid-Market,Manufacturing,USA,498
58,TexServices,SMB,Healthcare,Germany,20
59,CeltixCorp,SMB,Professional Services,Australia,35
60,CoinbaseInnovations,SMB,Financial Services/Fintech,Germany,98
61,CloudCorp,SMB,Technology,USA,73
62,IannisInc,SMB,Financial Services/Fintech,France,79
63,TigerSystems,SMB,Financial Services/Fintech,Canada,21
64,KraftSolutions,SMB,Education,Canada,93
65,TigerTechnologies,Mid-Market,Professional Services,Canada,447
66,CloudSystems,SMB,Financial Services/Fintech,USA,11
67,GenpaxTechnologies,Mid-Market,Retail,USA,441
68,IannisSystems,SMB,Retail,USA,80
69,OnyxSystems,Enterprise,Healthcare,UK,562
70,CeltixLabs,SMB,Technology,Canada,32
71,ProInc,SMB,Professional Services,France,89
72,GlobalTechnologies,Enterprise,Technology,USA,758
73,BartServices,SMB,Manufacturing,Japan,13
74,TexInnovations,SMB,Logistics,USA,40
75,JenixSystems,SMB,Professional Services,UK,55
76,GintarInnovations,SMB,Education,USA,87
77,SwellerServices,SMB,Professional Services,Germany,51
78,SwellerLabs,SMB,Financial Services/Fintech,Germany,49
79,EliteInc,Enterprise,Media,Japan,2827
80,LogixLabs,SMB,Education,UK,75
81,NextSystems,SMB,Healthcare,USA,78
82,CoinbaseInc,Mid-Market,Technology,Germany,450
83,DatadexServices,SMB,Retail,Germany,13
84,CloudSystems,SMB,Education,Japan,63
85,TexTechnologies,SMB,Healthcare,USA,91
86,BartInc,SMB,Manufacturing,Germany,85
87,TexSystems,SMB,Professional Services,USA,47
88,HelixTechnologies,SMB,Professional Services,Canada,29
89,QestarTechnologies,SMB,Retail,USA,71
90,UpstoxInnovations,Enterprise,Media,Germany,2634
91,SwellerInnovations,Mid-Market,Technology,Australia,430
92,JenixTechnologies,SMB,Logistics,USA,21
93,GenpaxServices,Mid-Market,Professional Services,UK,125
94,CloudCorp,SMB,Logistics,UK,43
95,GenpaxInc,SMB,Technology,USA,96
96,NagelInc,SMB,Manufacturing,USA,41
97,FraxSolutions,SMB,Manufacturing,UK,81
98,LogixInnovations,Mid-Market,Logistics,France,113
99,HelixInnovations,SMB,Retail,UK,62
100,GlobalInnovations,SMB,Logistics,UK,86
101,SwellerCorp,SMB,Financial Services/Fintech,Japan,58
102,QestarDynamics,SMB,Healthcare,USA,31
103,EulogInc,SMB,Education,France,53
104,ProTechnologies,Mid-Market,Retail,Canada,418
